batch_size,eta,epochs,layers,nodes,accuracy
1,0.01,200,2,16,0.3751408067310072
1,0.01,200,2,32,0.3871952487008167
1,0.01,200,2,48,0.41031724820588966
1,0.01,200,2,64,0.4201019549616431
1,0.01,200,2,128,0.41075872308834444
1,0.01,200,3,16,0.2483424894828013
1,0.01,200,3,32,0.37383716901756986
1,0.01,200,3,48,0.42990744865132396
1,0.01,200,3,64,0.4058698341994556
1,0.01,200,3,128,0.4214342984409799
1,0.01,500,1,16,0.43479930710220244
1,0.01,500,1,32,0.43790447908933433
1,0.01,500,1,48,0.4383538728037615
1,0.01,500,1,64,0.4285780747339767
1,0.01,500,1,128,0.4392427616926503
1,0.01,500,2,16,0.38941747092303886
1,0.01,500,2,32,0.42276466221232367
1,0.01,500,2,48,0.40675476367235835
1,0.01,500,2,64,0.41120316753278885
1,0.01,500,2,128,0.41786884434545907
1,0.01,500,3,16,0.34977975748577084
1,0.01,500,3,32,0.438327146745855
1,0.01,500,3,48,0.43389557040336546
1,0.01,500,3,64,0.4343360554318238
1,0.01,500,3,128,0.41210294481563975
1,0.01,800,1,16,0.42900668151447663
1,0.01,800,1,32,0.443260579064588
1,0.01,800,1,48,0.4325681761940114
1,0.01,800,1,64,0.4441375897055185
1,0.01,800,1,128,0.45082504330611234
1,0.01,800,2,16,0.38450482553823306
1,0.01,800,2,32,0.42368522642910167
1,0.01,800,2,48,0.44858797327394206
1,0.01,800,2,64,0.4405869834199455
1,0.01,800,2,128,0.4245414501361049
1,0.01,800,3,16,0.32481662954714186
1,0.01,800,3,32,0.4169928235585251
1,0.01,800,3,48,0.4307844592922544
1,0.01,800,3,64,0.4392496906706261
1,0.01,800,3,128,0.42010294481563976
1,0.01,1000,1,16,0.4312219747587231
1,0.01,1000,1,32,0.4508191041821332
1,0.01,1000,1,48,0.4548349418460777
1,0.01,1000,1,64,0.4548329621380847
1,0.01,1000,1,128,0.4539321950012374
1,0.01,1000,2,16,0.42854243999010144
1,0.01,1000,2,32,0.4539222964612719
1,0.01,1000,2,48,0.43565850037119525
1,0.01,1000,2,64,0.4254501361049246
1,0.01,1000,2,128,0.4458985399653551
